Post date,Content type,Author,Title,Comment count,Path,Tags,Word count
31 Jan 2017,Article,Scott Nesbitt,Book review: Ours to Hack and to Own,0,/article/17/1/review-book-ours-to-hack-and-own,Books,660
31 Jan 2017,Article,Jason Baker,5 new guides for working with OpenStack,2,/article/17/1/openstack-tutorials,"OpenStack, How-tos and tutorials",419
31 Jan 2017,Article,John Mark Walker,Be the open source supply chain,1,/article/17/1/be-open-source-supply-chain,Business,1668
31 Jan 2017,Article,DeLisa Alexander,Developing open leaders,1,/open-organization/17/1/developing-open-leaders,The Open Organization,768
30 Jan 2017,Article,David Egts,How to get up and running with sweet Orange Pi,12,/article/17/1/how-to-orange-pi,"Hardware, How-tos and tutorials",933
30 Jan 2017,Article,Tiberius Hefflin,4 ways to improve your security online right now,3,/article/17/1/4-ways-improve-your-online-security,Security and encryption,1242
30 Jan 2017,Article,Katie McLaughlin," WOOTConf 2017: Lockpicking, Willie Nelson developers, and more",1,/article/17/1/women-open-technology-miniconf,Diversity and inclusion,844
30 Jan 2017,Article,Jason Baker,"From hobbyist to professional, new analyst papers, and more OpenStack news",0,/article/17/1/openstack-news-january-30,"OpenStack, News, Cloud",327
28 Jan 2017,Article,Subhashish Panigrahi,How communities in India support privacy and software freedom,0,/article/17/1/how-communities-india-support-privacy-software-freedom,Security and encryption,453
28 Jan 2017,Article,Robin Muilwijk,"New Minecraft launcher comes to Linux, Tilt Brush Toolkit, and more open gaming news",0,/article/17/1/open-gaming-news-january-28,"Gaming, News",359
27 Jan 2017,Article,Jen Wike Huger,"Top 5: Solid state drives in Linux, Brotli compression algorithm, and more",0,/article/17/1/top-5-january-27,Top 5,216
27 Jan 2017,Article,Alan Smithee,Data Privacy Day 2017: Solutions for everyday privacy,5,/article/17/1/every-day-privacy,"Big data, Security and encryption",1424
27 Jan 2017,Article,VM (Vicky) Brasseur,How to successfully enter the FOSS emerging market,0,/article/17/1/cultivating-business-foss-market,Business,915
27 Jan 2017,Article,Algot Runeman,Getting started with my new LulzBot Mini 3D printer,2,/article/17/1/beginner-LulzBot-Mini-3D-printer,3D printing,1390
